_SalesTeamID,Sales Team,Region
1,Adam Hernandez,Northeast
2,Keith Griffin,Northeast
3,Jerry Green,West
4,Chris Armstrong,Northeast
5,Stephen Payne,South
6,Joshua Bennett,Northeast
7,Shawn Cook,Midwest
8,George Lewis,West
9,Joshua Ryan,Midwest
10,Jonathan Hawkins,West
11,Joshua Little,South
12,Carl Nguyen,Midwest
13,Todd Roberts,West
14,Paul Holmes,Midwest
15,Roger Alexander,Midwest
16,Anthony Berry,West
17,Frank Brown,Northeast
18,Shawn Wallace,South
19,Nicholas Cunningham,South
20,Anthony Torres,West
21,Samuel Fowler,Midwest
22,Joe Price,Northeast
23,Douglas Tucker,Midwest
24,Roy Rice,Midwest
25,Patrick Graham,South
26,Donald Reynolds,South
27,Shawn Torres,Northeast
28,Carlos Miller,West
