city,customer_name,customer_segment,discount,number_of_records,order_date,order_id,order_priority,order_quantity,product_base_margin,product_category,product_container,profit,region,row_id,sales,ship_date,ship_mode,shipping_cost,state,unit_price,zip_code
McKeesport,Jessica Myrick,Small Business,0.1,1,1/1/2012,28774,High,32,0.68,Office Supplies,Small Box,-111.8,East,4031,180.36,1/2/2012,Regular Air,4.69,Pennsylvania,5.98,15131
Bowie,Matt Collister,Home Office,0.08,1,1/1/2012,13729,Not Specified,9,,Office Supplies,Large Box,-342.91,East,1914,872.48,1/3/2012,Express Air,35,Maryland,95.99,20715
Napa,Alan Schoenberger,Corporate,0,1,1/2/2012,37537,Low,4,0.56,Furniture,Jumbo Drum,-193.08,West,5272,1239.06,1/2/2012,Delivery Truck,48.8,California,291.73,94559
Montebello,Elizabeth Moffitt,Consumer,0.08,1,1/2/2012,44069,Critical,43,0.39,Office Supplies,Wrap Bag,247.79,West,6225,614.8,1/2/2012,Regular Air,1.97,California,15.04,90640
Napa,Alan Schoenberger,Corporate,0.07,1,1/2/2012,37537,Low,43,0.69,Furniture,Jumbo Drum,-1049.85,West,5273,4083.19,1/4/2012,Delivery Truck,45,California,100.98,94559
Montebello,Elizabeth Moffitt,Consumer,0.09,1,1/2/2012,44069,Critical,16,0.4,Office Supplies,Wrap Bag,26.71,West,6224,137.63,1/4/2012,Express Air,2.15,California,9.11,90640
Prior Lake,David Philippe,Consumer,0.06,1,1/2/2012,9285,Critical,3,0.36,Office Supplies,Small Box,-11.937,Central,1279,124.81,1/4/2012,Regular Air,2.99,Minnesota,40.98,55372
Napa,Alan Schoenberger,Corporate,0.05,1,1/2/2012,37537,Low,32,0.59,Office Supplies,Small Box,1438.49,West,5274,4902.38,1/9/2012,Regular Air,7.07,California,155.06,94559
Phenix City,Patrick Jones,Home Office,0.09,1,1/3/2012,40354,High,4,0.64,Furniture,Jumbo Box,-93.16,South,5705,698,1/4/2012,Delivery Truck,52.2,Alabama,212.6,36869
Draper,Larry Tron,Home Office,0.05,1,1/3/2012,9762,High,12,0.78,Furniture,Medium Box,-146.05,West,1336,262.76,1/4/2012,Regular Air,21.2,Utah,20.98,84020
Phenix City,Patrick Jones,Home Office,0.03,1,1/3/2012,40354,High,29,0.37,Office Supplies,Small Box,12.5545,South,5704,172.51,1/4/2012,Regular Air,2.99,Alabama,5.58,36869
Lake Oswego,Alex Russell,Home Office,0.03,1,1/3/2012,7909,High,29,0.44,Office Supplies,Wrap Bag,24.55,West,1074,122.23,1/4/2012,Regular Air,1.2,Oregon,4.26,97035
Kearney,Bill Donatelli,Corporate,0.03,1,1/3/2012,30016,Critical,15,0.4,Office Supplies,Small Box,-41.58,Central,4223,85.56,1/5/2012,Regular Air,5.66,Nebraska,5.28,68847
Layton,Ann Steele,Corporate,0,1,1/3/2012,11972,Not Specified,4,0.59,Technology,Jumbo Drum,-452.2695,West,1663,896.49,1/5/2012,Delivery Truck,14.7,Utah,213.45,84041
Baton Rouge,Andy Reiter,Corporate,0.08,1,1/3/2012,9637,Low,12,0.66,Technology,Small Box,-236.43,South,1315,522.49,1/5/2012,Regular Air,16.71,Louisiana,43.22,70802
Kearney,Bill Donatelli,Corporate,0.01,1,1/3/2012,30016,Critical,8,0.57,Technology,Small Box,-212.553,Central,4224,754.6555,1/6/2012,Regular Air,2.5,Nebraska,110.99,68847
Baton Rouge,Andy Reiter,Corporate,0.04,1,1/3/2012,9637,Low,12,0.36,Office Supplies,Wrap Bag,32.44,South,1317,123.76,1/7/2012,Regular Air,2.27,Louisiana,10.14,70802
Baton Rouge,Andy Reiter,Corporate,0.05,1,1/3/2012,9637,Low,49,0.37,Technology,Large Box,14440.39,South,1316,28359.4,1/10/2012,Regular Air,24.49,Louisiana,574.74,70802
Bryan,Dave Hallsten,Home Office,0.06,1,1/4/2012,49730,High,3,0.61,Furniture,Jumbo Drum,-394.69,Central,6953,1039.56,1/5/2012,Delivery Truck,30,Texas,350.98,77803
Pharr,Tamara Dahlen,Corporate,0.03,1,1/4/2012,8710,Critical,17,0.4,Office Supplies,Small Box,-76.015,Central,1193,63.34,1/5/2012,Regular Air,6.27,Texas,3.36,78577
Pharr,Tamara Dahlen,Corporate,0.07,1,1/4/2012,8710,Critical,42,0.35,Office Supplies,Wrap Bag,8.33,Central,1194,151.35,1/6/2012,Express Air,1.93,Texas,3.71,78577
Bedford,Darren Budd,Consumer,0.07,1,1/5/2012,57253,Critical,48,0.6,Furniture,Large Box,-335.24,Central,8013,12635.75,1/5/2012,Regular Air,35,Texas,279.48,76021
Bedford,Darren Budd,Consumer,0.04,1,1/5/2012,57253,Critical,25,0.55,Technology,Small Box,667.449,Central,8015,2750.107,1/5/2012,Regular Air,5.26,Texas,125.99,76021
Dubuque,Marina Lichtenstein,Corporate,0.08,1,1/5/2012,32418,Not Specified,5,0.55,Furniture,Jumbo Drum,-131.31,Central,4555,1244.19,1/6/2012,Delivery Truck,43.32,Iowa,243.98,52001
Bedford,Darren Budd,Consumer,0.08,1,1/5/2012,57253,Critical,49,0.7,Furniture,Jumbo Box,-139.15575,Central,8014,240.3,1/6/2012,Regular Air,5.68,Texas,4.91,76021
Bedford,Darren Budd,Consumer,0.08,1,1/5/2012,57253,Critical,43,0.58,Furniture,Jumbo Drum,1.74,Central,8011,78.08,1/6/2012,Regular Air,0.75,Texas,1.81,76021
Norman,Pauline Chand,Small Business,0.02,1,1/5/2012,28451,Critical,41,0.59,Furniture,Large Box,2593.14,Central,3982,8958.46,1/6/2012,Regular Air,21.21,Oklahoma,209.84,73071
Ormond Beach,Valerie Dominguez,Corporate,0.09,1,1/5/2012,25601,Medium,43,0.68,Office Supplies,Small Box,-131.08,South,3588,257.41,1/6/2012,Regular Air,4.69,Florida,5.98,32174
